rank,smiles,postera_code
0,Cc1ccncc1NC(=O)NC1(C#Cc2cccnc2)CCCC1,CHR-SOS-6c4-5
1,CS(=O)(=O)NCC1CC1(C(=O)Nc1cccnc1)c1cccc(Cl)c1,ADA-UNI-f8e-9
2,O=C(Nc1cccnc1)Nc1ccccc1CCN1CC(O)C1,BAR-COM-569-1
3,O=C(NC1CCCCC1NC(=O)c1ccncc1)c1ccccc1,GIA-UNK-d2d-2
4,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,ALE-UNK-fca-2
5,Cn1ccc2cccc(N(CCNS(C)(=O)=O)C(=O)Cc3cccnc3)c21,DUN-NEW-f8c-19
6,O=C(NC1CCCCC1NC(=O)C1CCCCC1)c1ccncc1,GIA-UNK-d2d-1
7,CN1CCCc2ccc(S(=O)(=O)C(=O)N3Cc4ccccc4C(c4ccccc4)C3)cc21,JAR-IMP-ed4-1
8,O=C1c2cc(F)c(Cl)cc2N(c2ccccc2)C(=O)[NH+]1c1cccnc1,MAK-UNK-9e4-23
9,C[NH2+]Cc1cc(-c2ccccc2F)n(C(c2ccccc2)c2c[nH]nn2)c1,MAK-UNK-095-16
10,Cc1nc(C2Nc3ccccc3C(=O)N2Cc2cccnc2)cs1,AUS-ARG-7cf-8
11,[CH-]C(=O)N1CCN(S(=O)(=O)C2=C[C-]([C@H]3CN(C(=O)NCc4ccc(C#N)cc4)CCO3)C(Cl)=C[C-]2)CC1,PED-UNI-a9f-1
12,CC(C)(C)OC(=O)Nc1ccc(-c2cccc(CC(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)C(=O)NC3CC3)c2)[nH]c1=O,HUB-UNK-984-8
13,O=C1c2cc(F)c(Cl)cc2N(c2ccccc2)C(=O)C1c1ccccc1,MAK-UNK-9e4-4
14,CC(=O)N(C(=O)N(c1ccc(C)cc1)C1C=CS(=O)(=O)C1)C1=CNCC=C1C,SEL-UNI-842-1
15,NS(=O)(=O)c1ccc(N2CCC(NC3(c4ccccc4)CCCC3)CC2)cc1,WAR-XCH-b68-39
16,NS(=O)(=O)c1ccc(N2CCC(NC3(c4cccc(F)c4)CCCC3)CC2)cc1,WAR-XCH-b68-37
17,CC(=O)N1CCN(Cc2ccc3cc(C(N)=O)ccc3c2F)C[C@@H](c2cccnc2)C1,KEI-UNI-85a-4
18,CC(=O)N1CCCN(Cc2ccc3ccc(S(N)(=O)=O)cc3c2)CC1,MIH-UNI-6b9-9
19,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,GER-UNI-cad-1
20,CCNc1ncc(C#N)cc1Cc1cnc2c(c1)C(=O)NC2,MAK-UNK-516-21
21,O=C(CN(C(=O)Nc1ccccc1)c1cccnc1)NC1CC1,SIM-SYN-a98-2
22,O=C(NC1CC1)N(Cc1cccnc1)C(=O)c1ccccc1,MIC-SGC-657-2
23,O=C(Nc1cccnc1)c1cc(Cl)ccc1Oc1ccccc1,CHR-SOS-709-16
24,O=C(CC1(C#Cc2ccccn2)CCCCC1)Nc1cccnc1,CHR-SOS-b30-1
25,CCNc1ncc(C#N)cc1NCc1c[nH]c2ccccc12,GAB-REV-df6-18
26,[NH3+]CC1OC(C2C(O)C(O)CC(O)C2O)Cc2c1ccc(O)c2O,MAK-UNK-198-15
27,O=C1c2cc(F)c(Cl)cc2C(c2ccccc2)C(=O)N1c1ccccc1,MAK-UNK-9e4-6
28,Cc1ccnc(F)c1NS(=O)(=O)/C=C/NC(=O)c1cccs1,AGN-NEW-931-1
29,CC(=O)N1CCc2c1[nH]c1ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cc21,JOH-MEM-5e3-5
30,Cc1ccncc1NC(=O)NC1(Oc2ccccc2)CCCC1,CHR-SOS-1f3-4
31,CS(=O)(=O)NCCc1cccc(C(=O)NC(Cc2ccc(O)cc2)C(=O)NCC#CBr)c1,MAK-UNK-c44-13
32,CC(=O)NC=Cc1c[nH]c2c(CN3CCC(O)CC3)cc(F)cc12,SAM-UNK-83e-1
33,CCNc1ccc(C#N)cc1Cc1ccc2c(c1)C(=O)NC2,MAK-UNK-516-29
34,NS(=O)(=O)Cc1cccc(NC(=O)N(CC(=O)NC2CC2)c2cccnc2)c1,SIM-SYN-a98-3
35,Cc1ccn2c(-c3cccc4[nH]ncc34)c(-c3ccc(F)cc3)nc2c1,ÁLV-UNI-7ff-15
36,O=C(C(Cl)[NH2+]Cc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1)N1Cc2ccccc2C(c2ccccc2)C1,MAK-UNK-702-2
37,CCNc1ncc(C#N)cc1NCc1ccc2[nH]ncc2c1,GAB-REV-df6-2
38,Cc1c(F)c(Cl)cc2c1c(=O)n(-c1cccnc1)c(=O)n2-c1ccccc1,MAK-UNK-9e4-35
39,C=S(=C)(c1ccsc1)N1CCN2C(=O)Nc3cnccc3C2C1,MAK-UNK-bdd-4
40,C#Cc1c(Cc2cc(C)cc3ccnnc23)nc(-c2cnccc2C)c2n[nH]c(C)c12,STE-UNK-a3c-1
41,CN1CCN(CN(C(=O)Nc2cccnc2)c2cccc(Cl)c2)CC1,JOR-UNI-2fc-5
42,CS(=O)(=O)NC[C@@H](C(=O)N1CCOc2ccncc21)c1ccc(F)cc1,DAN-RED-da4-8
43,Cc1cccc(-n2c(=O)n(-c3cccnc3)c(=O)c3cc(F)c(Cl)cc32)c1,MAK-UNK-9e4-33
44,CC(C)(C)OC(=O)Nc1ccc(-c2cccc(CCC(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)C(=O)NC3CC3)c2)[nH]c1=O,HUB-UNK-984-7
45,NC(=O)CC[C@@H]1N[C@@]2(C(=O)Nc3c(Cl)cccc32)[C@@H]2C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)[C@H]12,FAR-UNI-9a7-3
46,N#Cc1ccccc1CNC1(C#Cc2cccnc2)CCCCC1,WAR-XCH-b03-14
47,N#Cc1cnc(N)c(Cc2ccc3c(c2)C(=O)NC3)c1,MAK-UNK-516-2
48,O=C(CC1(C#CC2CCCCN2)CCCCC1)Nc1cccnc1,CHR-SOS-54d-4
49,O=C1c2cc(F)c(Cl)cc2N(c2ccccc2)C(=O)[NH+]1c1ccc[nH+]c1,MAK-UNK-9e4-25
50,CS(=O)(=O)NCCc1ccc(Cl)cc1NC(=O)Nc1cccnc1,WAR-XCH-6eb-4
51,CC(=O)N1CCN(Cc2cc(F)c(-c3cc(C)ncn3)c(F)c2)[C@@H](C)C1,BEN-VAN-c98-14
52,Cc1ccncc1NC(=O)CCc1nc2cc(Cl)ccc2o1,GAB-REV-70c-22
53,CC(=O)N1CCN(Cc2ccc3cc(S(N)(=O)=O)ccc3c2F)C[C@@H](c2cccnc2)C1,KEI-UNI-85a-1
54,O=C1c2cc(F)c(Cl)cc2N(c2ccccc2)C(=O)C1c1cccnc1,MAK-UNK-9e4-2
55,N#Cc1ccc(Nc2ccncc2NC(=O)Nc2ccccc2)nc1,MAK-UNK-30a-15
56,C=S(=C)(c1ccsc1)N1CCN2CC1c1ccncc1NC2=O,MAK-UNK-bdd-5
57,CCOc1cnc(-c2c(C)ccnc2F)cc1-c1cc(Cl)cc(C(=O)Nc2ccco2)c1,BEN-VAN-578-18
58,C[NH2+]Cc1cc(-c2ccccc2NS(=O)(=O)c2ccc3c(c2)N(C)CCC3)n(S(=O)(=O)c2cccnc2)c1,MAK-UNK-9a6-6
59,NS(=O)(=O)c1ccc(N2CCC(NC3(c4cccs4)CCCC3)CC2)cc1,WAR-XCH-b68-42
60,CS(=O)(=O)NCC(CC(=O)Nc1cccnc1)c1ccccc1,TAM-UNI-c14-10
61,COC(=O)c1ccc(S(=O)(=O)N[NH2+]Cc2cc(-c3ccccc3F)n(S(=O)(=O)c3cccnc3)c2)cc1,MAK-UNK-de9-1
62,CS(=O)(=O)NCc1ccc(CC2=CNC3NC=CC=C23)nc1N,MIH-UNI-339-5
63,NS(=O)(=O)c1cc(C2NC(=O)c3ccccc32)ccc1N1CCN(C(=O)CO)CC1,DR -UNK-640-5
64,NS(=O)(=O)c1ccc(N2CCC(NC3(c4ccsc4)CCCC3)CC2)cc1,WAR-XCH-b68-41
65,C#Cc1cc(F)cc(CN(C(=O)Nc2cccnc2C)c2nccc(C(C)C)n2)n1,AGN-NEW-817-5
66,CC(=O)NCCc1c[nH]c2c(Nc3ccc(NC(C)=O)cc3)cc(F)cc12,GAB-REV-4a4-14
67,CNCC1CC1(C(=O)Nc1cccnc1)c1cccc(Cl)c1,ADA-UNI-f8e-12
68,Cc1cccc(C[NH+]2CC([NH+]3CCC(O)CC3)CC2C(=O)NCCO)c1,MAK-UNK-e4a-10
